 C_ 1, C_ 2, C_ 3, C_ 4, C_ 5
 G, I, G, J, NaN
 I, I, NaN, NaN, H
 NaN, H, NaN, H, K
 G, H, K, K, J
 H, I, J, H, G
 NaN, H, I, NaN, K
 H, I, G, J, G
 K, I, J, K, G
 I, NaN, J, G, J
 I, H, K, G, J
 NaN, I, NaN, NaN, G
 J, I, NaN, G, H
 J, I, G, K, J
 J, H, H, NaN, I
 K, I, G, NaN, I
 G, H, I, K, J
 H, I, G, G, J
 NaN, H, G, G, H
 H, I, H, H, G
 K, H, J, G, H
 H, I, G, H, NaN
 G, I, G, G, I
 G, I, K, J, J
 NaN, I, G, I, G
 NaN, H, I, I, I
 NaN, I, G, K, NaN
 G, H, G, H, G
 J, H, H, G, H
 H, I, K, NaN, G
 J, NaN, K, H, G
 NaN, I, H, J, NaN
 K, H, I, H, H
 I, NaN, K, NaN, J
 J, I, H, K, I
 H, H, J, H, J
 K, I, I, G, NaN
 H, I, K, K, K
 I, NaN, G, H, J
 I, I, J, K, J
 G, H, I, J, K
 H, I, G, I, K
 K, NaN, I, I, G
 H, I, G, NaN, J
 G, I, J, J, NaN
 G, I, K, I, H
 I, I, K, I, H
 J, I, J, J, I
 K, H, H, K, NaN
 K, I, H, NaN, K
 K, I, H, J, G
 G, I, I, I, G
 I, I, H, NaN, K
 I, H, J, NaN, NaN
 I, I, G, NaN, G
 I, I, J, NaN, I
 I, I, J, G, K
 K, H, NaN, J, J
 NaN, NaN, I, K, G
 H, H, J, I, K
 NaN, H, NaN, H, K
 G, NaN, K, NaN, G
 K, H, J, K, I
 I, I, G, H, J
 J, H, I, I, G
 K, I, NaN, H, I
 G, I, NaN, G, I
 NaN, I, H, I, J
 H, NaN, H, K, J
 G, H, G, NaN, K
 J, H, H, J, H
 NaN, NaN, G, G, J
 J, I, G, I, J
 K, NaN, NaN, H, G
 H, I, K, H, NaN
 NaN, NaN, NaN, J, J
 G, I, I, K, J
 NaN, H, I, K, I
 J, I, G, G, NaN
 G, I, K, I, J
 I, NaN, J, I, K
 G, H, J, NaN, K
 H, I, J, K, NaN
 NaN, I, G, J, G
 H, H, H, H, NaN
 H, I, G, I, G
 G, I, J, K, J
 NaN, H, H, G, G
 H, H, G, J, I
 NaN, I, NaN, H, I
 J, I, G, I, NaN
 K, H, K, J, I
 H, NaN, H, H, H
 J, I, G, K, NaN
 K, NaN, NaN, G, G
 J, NaN, G, G, J
 K, I, H, NaN, NaN
 I, I, I, I, H
 K, H, G, I, I
 J, NaN, G, I, K
 J, I, NaN, NaN, K
 G, H, NaN, J, NaN
 NaN, I, NaN, NaN, G
 K, NaN, J, I, G
 J, H, J, NaN, G
 H, NaN, H, NaN, I
 NaN, I, NaN, G, H
 I, I, I, I, G
 I, I, J, NaN, J
 NaN, I, K, K, H
 J, I, K, J, J
 H, I, I, K, I
 H, I, NaN, NaN, K
 I, H, K, J, NaN
 I, I, NaN, K, J
 I, H, I, J, I
 K, I, I, I, J
 H, I, K, G, H
 I, I, K, J, J
 NaN, I, G, J, K
 G, H, NaN, K, NaN
 NaN, NaN, J, NaN, G
 K, I, K, H, J
 K, H, G, NaN, K
 I, H, G, G, I
 H, I, I, J, J
 K, H, NaN, NaN, K
 I, H, H, I, H
 I, NaN, G, H, I
 H, I, K, G, K
 NaN, NaN, I, J, G
 K, I, K, H, H
 K, I, H, G, G
 H, NaN, G, I, J
 I, I, G, J, H
 G, I, G, I, K
 J, I, I, NaN, J
 H, NaN, NaN, H, K
 J, H, NaN, I, K
 H, H, G, J, NaN
 NaN, I, J, H, G
 H, I, G, G, K
 NaN, NaN, J, G, G
 G, I, H, I, I
 G, H, I, NaN, H
 I, NaN, J, I, I
 H, I, J, H, NaN
 J, I, H, K, G
 NaN, NaN, H, NaN, K
 H, H, H, H, G
 I, I, J, I, G
 I, H, J, NaN, J
 K, H, G, NaN, H
 J, H, J, NaN, NaN
 NaN, I, J, H, I
 G, H, J, H, I
 I, I, I, G, K
 NaN, I, NaN, NaN, I
 J, I, K, K, G
 K, H, K, H, G
 H, I, I, I, K
 NaN, I, I, K, J
 H, I, H, H, I
 G, H, K, NaN, NaN
 I, I, G, I, J
 G, I, H, K, NaN
 NaN, I, I, I, I
 H, NaN, NaN, K, K
 K, NaN, I, G, K
 K, I, I, K, J
 H, NaN, H, K, G
 K, H, H, I, G
 H, H, I, I, J
 H, H, I, I, G
 G, NaN, K, I, G
 J, I, J, K, G
 H, I, NaN, J, G
 I, H, K, I, I
 H, I, I, G, G
 J, I, G, K, I
 H, I, I, K, H
 K, I, J, K, NaN
 H, H, I, NaN, K
 K, I, I, G, G
 NaN, H, G, H, H
 H, NaN, J, J, K
 H, NaN, J, J, J
 G, H, NaN, G, H
 H, I, I, H, G
 J, I, G, K, J
 J, H, G, I, NaN
